MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      720.415     6176.26       16        403         523         0
    2      720.134     6210.2       3        386         506         0
    3      692.484     6114.23       9        419         539         0
    4      725.608     6177.62       15        403         523         0
    5      688.659     6135.29       4        375         495         0
    6      721.952     6181.1       3        423         543         0
    7      714.062     6128.56       3        360         475         0
    8      700.248     6149.85       4        386         506         0
    9      710.387     6179.85       14        408         528         0
    10      722.082     6184.54       15        407         527         0
    11      538.181     6086.48       16        764         884         0
    12      585.053     6140.35       3        927         1047         0
    13      551.548     6086.12       9        760         880         0
    14      563.362     6174.24       15        702         822         0
    15      535.54     6175.54       4        738         858         0
    16      551.966     6086.34       3        740         860         0
    17      571.23     6218.39       3        829         949         0
    18      561.492     6174.32       4        682         802         0
    19      524.402     6098.6       14        805         925         0
    20      571.952     6371.65       15        836         956         0

