MW

VEHICLE
NUMBER     CAPACITY
  25         100

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      50     50       0          0         0         0
    1      57     9       28         0          0         0
    2      14     15       32         0          0         0
    3      33     73       13         0          0         0
    4      37     9       15         0          0         0
    5      19     74       33         0          0         0
    6      64     52       23         0          0         0
    7      72     50       14         0          0         0
    8      73     34       29         0          0         0
    9      18     19       19         0          0         0
    10      8     14       21         0          0         0
    11      41     23       30         0          0         0
    12      36     37       23         0          0         0
    13      83     23       21         0          0         0
    14      88     12       32         0          0         0
    15      43     31       33         0          0         0
    16      68     48       12         0          0         0
    17      9     72       12         0          0         0
    18      13     45       24         0          0         0
    19      34     63       18         0          0         0
    20      68     23       34         0          0         0
    21      79     64       32         0          0         0
    22      52     52       22         0          0         0
    23      92     88       22         0          0         0
    24      5     76       11         0          0         0
    25      79     72       19         0          0         0
    26      27     40       17         0          0         0
    27      79     1       16         0          0         0
    28      33     15       11         0          0         0
    29      22     49       24         0          0         0
    30      31     70       23         0          0         0
    31      57     1       14         0          0         0
    32      7     5       19         0          0         0
    33      94     97       32         0          0         0
    34      8     54       10         0          0         0
    35      34     33       32         0          0         0
    36      95     12       25         0          0         0
    37      5     43       26         0          0         0
    38      86     77       18         0          0         0
    39      13     99       18         0          0         0
    40      2     82       15         0          0         0

