MW

VEHICLE
NUMBER     CAPACITY
  25         100

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      50     50       0          0         0         0
    1      36     66       22         0          0         0
    2      28     56       27         0          0         0
    3      9     60       32         0          0         0
    4      34     34       26         0          0         0
    5      7     19       25         0          0         0
    6      0     26       30         0          0         0
    7      16     84       12         0          0         0
    8      30     4       29         0          0         0
    9      27     30       13         0          0         0
    10      42     82       28         0          0         0
    11      31     20       21         0          0         0
    12      43     48       28         0          0         0
    13      12     57       13         0          0         0
    14      12     94       24         0          0         0
    15      28     51       18         0          0         0
    16      20     1       19         0          0         0
    17      41     69       28         0          0         0
    18      20     1       34         0          0         0
    19      16     79       16         0          0         0
    20      20     73       26         0          0         0
    21      65     54       21         0          0         0
    22      77     97       22         0          0         0
    23      97     10       31         0          0         0
    24      77     24       25         0          0         0
    25      92     54       26         0          0         0
    26      75     75       29         0          0         0
    27      87     18       26         0          0         0
    28      82     88       27         0          0         0
    29      82     4       33         0          0         0
    30      65     76       32         0          0         0
    31      81     94       13         0          0         0
    32      70     23       11         0          0         0
    33      57     72       23         0          0         0
    34      53     49       22         0          0         0
    35      96     93       28         0          0         0
    36      89     19       28         0          0         0
    37      84     56       21         0          0         0
    38      52     40       11         0          0         0
    39      71     24       18         0          0         0
    40      70     90       21         0          0         0

