MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      720.683     6220.16       4        413         533         0
    2      721.52     6174.3       17        414         534         0
    3      718.607     6191.42       10        400         520         0
    4      639.863     6162.56       5        397         517         0
    5      724.421     6180.44       4        425         545         0
    6      638.158     6137.79       6        360         477         0
    7      685.597     6157.24       4        442         562         0
    8      657.716     6156.35       17        376         496         0
    9      724.079     6179.62       5        410         530         0
    10      721.747     6191.12       4        418         538         0
    11      716.296     6180.97       8        386         506         0
    12      723.944     6177.58       12        398         518         0
    13      724.034     6180.17       4        439         559         0
    14      718.939     6174.63       11        412         532         0
    15      720.26     6207.48       6        468         588         0
    16      532.891     6223.72       4        815         935         0
    17      498.716     6221.57       17        853         973         0
    18      573.516     6226.69       10        831         951         0
    19      588.124     6228.13       5        716         836         0
    20      537.062     6222.06       4        797         917         0
    21      602.301     6147.96       6        712         832         0
    22      471.662     6105.06       4        885         1005         0
    23      563.954     6257.95       17        750         870         0
    24      570.158     6224.09       5        763         883         0
    25      445.42     6212.54       4        979         1099         0
    26      532.974     6172.68       8        788         908         0
    27      575.704     6233       12        752         872         0
    28      545.234     6089.61       4        903         1023         0
    29      570.063     6255.83       11        789         909         0
    30      570.782     6224.79       6        790         910         0

