MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      677.566     6187.11       13        360         479         0
    2      704.974     6187.69       15        388         508         0
    3      725.92     6171.15       16        399         519         0
    4      721.735     6172.68       10        369         489         0
    5      635.549     6078.72       11        419         539         0
    6      642.394     6087.29       5        387         507         0
    7      720.445     6174.09       16        395         515         0
    8      667.347     6200.88       16        414         534         0
    9      720.838     6176.57       11        387         507         0
    10      698.384     6205.85       10        428         548         0
    11      710.329     6166.92       14        388         508         0
    12      636.913     6159.49       17        412         532         0
    13      722.049     6178.08       14        435         555         0
    14      688.131     6209.14       3        397         517         0
    15      717.215     6175.19       6        362         482         0
    16      554.919     6222.03       13        790         910         0
    17      470.214     6227.13       15        817         937         0
    18      527.566     6151.53       16        820         940         0
    19      574.47     6220.49       10        817         937         0
    20      615.72     6254.29       11        761         881         0
    21      574.331     6229.15       5        805         925         0
    22      572.933     6221.46       16        732         852         0
    23      534.724     6176.5       16        779         899         0
    24      525.977     6100.07       11        796         916         0
    25      603.167     6256.91       10        807         927         0
    26      554.891     6232.85       14        756         876         0
    27      610.671     6088.61       17        638         758         0
    28      485.82     6111.81       14        880         1000         0
    29      615.421     6254.08       3        774         894         0
    30      564.259     6258.05       6        994         1114         0

