MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      720.415     6176.26       16        375         495         0
    2      711.815     6208.84       10        422         542         0
    3      710.831     6168.72       4        360         471         0
    4      662.179     6199.59       4        424         544         0
    5      720.134     6210.2       3        441         561         0
    6      723.05     6178.5       9        372         492         0
    7      722.462     6177.77       3        365         485         0
    8      719.104     6173.16       3        373         493         0
    9      726.755     6174.37       6        454         574         0
    10      718.638     6205.73       8        423         543         0
    11      665.308     6126.82       4        561         681         0
    12      714.197     6169.88       3        360         474         0
    13      711.357     6175.12       14        385         505         0
    14      712.256     6183.71       10        367         487         0
    15      724.312     6179.85       7        391         511         0
    16      713.038     6174.56       8        425         545         0
    17      680.041     6165.33       16        360         461         0
    18      714     6175.86       7        361         481         0
    19      729.376     6171.38       3        368         488         0
    20      719.162     6180.84       7        440         560         0
    21      721.643     6191.9       4        400         520         0
    22      713.328     6180.33       15        371         491         0
    23      707.883     6172.44       10        409         529         0
    24      718.616     6178.59       8        367         487         0
    25      692.484     6114.23       9        372         492         0
    26      722.535     6177.88       3        378         498         0
    27      717.147     6175.32       6        413         533         0
    28      711.404     6173.04       10        416         536         0
    29      725.608     6177.62       15        395         515         0
    30      721.531     6176.62       16        401         521         0
    31      538.181     6086.48       16        742         862         0
    32      588.257     6139.25       10        733         853         0
    33      528.913     6152.56       4        1032         1152         0
    34      500.074     6269.75       4        849         969         0
    35      585.053     6140.35       3        780         900         0
    36      557.926     6181.75       9        740         860         0
    37      609.023     6077.16       3        832         952         0
    38      507.721     6199.18       3        824         944         0
    39      522.714     6075.1       6        975         1095         0
    40      526.981     6257.53       8        853         973         0
    41      465.029     6147.73       4        923         1043         0
    42      466.076     6153.32       3        816         936         0
    43      468.578     6147.06       14        906         1026         0
    44      604.134     6229.59       10        762         882         0
    45      569.239     6227.02       7        783         903         0
    46      527.858     6099.83       8        845         965         0
    47      550.967     6189.33       16        799         919         0
    48      460.95     6153.72       7        838         958         0
    49      524.269     6122.27       3        763         883         0
    50      559.318     6372.82       7        919         1039         0
    51      575.715     6233.07       4        762         882         0
    52      526.379     6098.38       15        751         871         0
    53      551.154     6085.19       10        814         934         0
    54      509.955     6220.24       8        919         1039         0
    55      551.548     6086.12       9        793         913         0
    56      525.913     6100.63       3        766         886         0
    57      566.795     6235.3       6        868         988         0
    58      571.232     6217.31       10        809         929         0
    59      563.362     6174.24       15        774         894         0
    60      590.77     6143.61       16        684         804         0

