MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      716.808     6188.57       4        368         488         0
    2      723.223     6178.17       4        367         487         0
    3      725.316     6178.52       11        409         529         0
    4      720.602     6181.33       5        424         544         0
    5      722.909     6178.31       13        416         536         0
    6      704.983     6218.63       12        395         515         0
    7      650.211     6143.65       14        434         554         0
    8      675.739     6064.45       13        442         562         0
    9      719.286     6174.67       12        370         490         0
    10      727.591     6173.46       14        378         498         0
    11      721.74     6179.83       12        415         535         0
    12      688.638     6066.75       12        406         526         0
    13      685.375     6099.22       15        406         526         0
    14      727.247     6173.34       14        403         523         0
    15      720.234     6171.53       3        423         543         0
    16      686.488     6181.89       3        470         590         0
    17      722.72     6173.19       10        416         536         0
    18      725.894     6172.17       12        402         522         0
    19      663.248     6065.18       13        469         589         0
    20      702.611     6223.24       15        425         545         0
    21      716.867     6220.31       3        456         576         0
    22      720.891     6176.46       16        376         496         0
    23      714.316     6180.21       9        366         486         0
    24      677.652     6088.65       11        455         575         0
    25      698.871     6185.85       14        365         485         0
    26      720.215     6208.11       6        387         507         0
    27      698.282     6194.38       4        440         560         0
    28      696.275     6220.31       5        447         567         0
    29      637.71     6078.14       15        430         550         0
    30      723.904     6180.11       11        438         558         0
    31      584.312     6139.4       4        798         918         0
    32      512.477     6185.78       4        842         962         0
    33      565.881     6236.18       11        841         961         0
    34      557.661     6192.87       5        701         821         0
    35      500.078     6269.75       13        843         963         0
    36      553.772     6190.98       12        764         884         0
    37      601.201     6102.74       14        721         841         0
    38      586.652     6137.67       13        751         871         0
    39      480.363     6178.06       12        853         973         0
    40      558.174     6369.83       14        901         1021         0
    41      569.301     6336.87       12        826         946         0
    42      529.602     6149.63       12        775         895         0
    43      610.11     6089.12       15        773         893         0
    44      466.243     6147.57       14        873         993         0
    45      547.252     6158.79       3        942         1062         0
    46      601.688     6098.73       3        753         873         0
    47      549.809     6100.82       10        824         944         0
    48      517.625     6143.31       12        805         925         0
    49      564.719     6230.34       13        840         960         0
    50      575.261     6225.11       15        780         900         0
    51      478.324     6153.8       3        907         1027         0
    52      574.197     6222.84       16        733         853         0
    53      483.511     6257.98       9        819         939         0
    54      480.58     6091.55       11        847         967         0
    55      609.707     6074.21       14        701         821         0
    56      609.996     6089.56       6        789         909         0
    57      592.044     6140.56       4        706         826         0
    58      586.112     6136.38       5        713         833         0
    59      575.71     6226.27       15        754         874         0
    60      578.438     6202.85       11        708         828         0

