MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      681.736     6202.21       13        409         529         0
    2      701.138     6151.3       13        360         466         0
    3      652.039     6171.58       12        407         527         0
    4      715.238     6169.8       3        360         475         0
    5      719.124     6184.43       12        413         533         0
    6      723.486     6178.63       13        410         530         0
    7      723.734     6174.88       5        367         487         0
    8      719.29     6179.23       4        364         484         0
    9      726.163     6176.15       10        374         494         0
    10      701.535     6149.75       15        360         468         0
    11      649.349     6143.79       10        369         489         0
    12      683.341     6082.14       15        496         616         0
    13      693.328     6218.64       9        446         566         0
    14      712.36     6186.5       15        411         531         0
    15      699.242     6145.02       8        392         512         0
    16      676.778     6122.15       4        368         488         0
    17      727.412     6176.29       17        403         523         0
    18      712.877     6208.05       11        388         508         0
    19      724.4     6176.86       10        401         521         0
    20      718.343     6201.91       17        423         543         0
    21      701.712     6223.74       12        443         563         0
    22      724.741     6180.24       15        407         527         0
    23      721.167     6176.44       5        365         485         0
    24      708.879     6184.75       9        439         559         0
    25      726.25     6175.11       10        414         534         0
    26      725.368     6188.21       15        402         522         0
    27      638.448     6078.07       4        464         584         0
    28      647.218     6141.4       11        398         518         0
    29      719.623     6184.88       4        368         488         0
    30      726.534     6174.56       16        397         517         0
    31      726.555     6173.43       5        430         550         0
    32      726.879     6174.24       10        415         535         0
    33      718.931     6204.9       17        395         515         0
    34      727.392     6174.72       16        418         538         0
    35      711.619     6191.11       7        385         505         0
    36      669.461     6176.87       3        360         460         0
    37      719.463     6176.45       14        390         510         0
    38      698.118     6222.8       3        460         580         0
    39      714.546     6179.81       6        363         483         0
    40      724.714     6216.65       12        420         540         0
    41      722.784     6216.22       6        454         574         0
    42      682.777     6125.08       8        360         463         0
    43      720.236     6210.43       10        414         534         0
    44      720.135     6210.55       12        436         556         0
    45      649.712     6177.49       12        379         499         0
    46      711.706     6168.82       7        360         475         0
    47      723.479     6177.79       9        428         548         0
    48      720.012     6170.93       3        435         555         0
    49      691.61     6194.5       9        381         501         0
    50      720.139     6182.01       7        369         489         0
    51      545.244     6157.35       13        754         874         0
    52      533.203     6173.31       13        738         858         0
    53      562.307     6223.35       12        731         851         0
    54      602.378     6102.04       3        737         857         0
    55      548.134     6158.2       12        734         854         0
    56      525.924     6100.35       13        831         951         0
    57      521.959     6153.84       5        780         900         0
    58      534.033     6225.02       4        764         884         0
    59      615.509     6254.28       10        697         817         0
    60      530.279     6147.99       15        836         956         0
    61      565.076     6258.54       10        785         905         0
    62      521.794     6186.03       15        861         981         0
    63      547.316     6092       9        842         962         0
    64      570.64     6217.48       15        717         837         0
    65      528.634     6122.39       8        747         867         0
    66      531.257     6123.49       4        727         847         0
    67      545.983     6158.76       17        754         874         0
    68      463.884     6151.12       11        889         1009         0
    69      495.61     6178.56       10        816         936         0
    70      574.717     6227.01       17        804         924         0
    71      534.643     6121.29       12        809         929         0
    72      460.548     6178.83       15        861         981         0
    73      521.842     6185.94       5        835         955         0
    74      523.424     6258.06       9        832         952         0
    75      522.232     6207.63       10        823         943         0
    76      533.251     6224.48       15        814         934         0
    77      490.296     6119.54       4        915         1035         0
    78      454.074     6215.6       11        856         976         0
    79      561.445     6223.12       4        746         866         0
    80      565.881     6236.18       16        771         891         0
    81      566.004     6197.32       5        708         828         0
    82      495.282     6178.67       10        796         916         0
    83      463.932     6222.68       17        928         1048         0
    84      547.291     6216.79       16        751         871         0
    85      467.567     6147.67       7        861         981         0
    86      517.24     6123.93       3        799         919         0
    87      473.866     6259.79       14        908         1028         0
    88      587.925     6138.56       3        765         885         0
    89      551.588     6085.6       6        934         1054         0
    90      563.211     6258.14       12        836         956         0
    91      573.181     6218.7       6        756         876         0
    92      601.993     6103.72       8        779         899         0
    93      542.781     6198.57       10        759         879         0
    94      602.138     6103.63       12        760         880         0
    95      553.124     6317.91       12        808         928         0
    96      534.743     6176.52       7        790         910         0
    97      567.995     6218.81       9        765         885         0
    98      568.431     6218.65       3        745         865         0
    99      585.805     6136.13       9        733         853         0
    100      547.438     6150.44       7        775         895         0

