MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      692.484     6114.23       9        419         539         0
    2      684.846     6102.92       9        366         486         0
    3      689.705     6104.02       17        390         510         0
    4      698.583     6194.46       17        375         495         0
    5      705.394     6194.12       10        443         563         0
    6      698.743     6187.71       6        436         556         0
    7      727.868     6174.55       3        402         522         0
    8      727.363     6174.42       6        389         509         0
    9      720.891     6176.46       13        373         493         0
    10     722.267     6173.13       9        411         531         0
    11     718.197     6188.14       10        393         513         0
    12     713.906     6180.61       14        387         507         0
    13     722.019     6177.33       9        426         546         0
    14     710.387     6179.85       14        408         528         0
    15     723.825     6180.08       15        417         537         0
    16     555.399     6093.32       9        699         819         0
    17     562.994     6259.87       9        806         926         0
    18     460.95     6153.72       17        862         982         0
    19     551.548     6086.12       17        760         880         0
    20     565.087     6258.88       10        885         1005         0
    21     564.718     6230.33       6        813         933         0
    22     571.546     6224.36       3        787         907         0
    23     489.644     6172.89       6        814         934         0
    24     521.734     6252.16       13        973         1093         0
    25     567.234     6260.18       9        802         922         0
    26     467.975     6148.61       10        834         954         0
    27     532.346     6151.57       14        788         908         0
    28     590.271     6139.64       9        735         855         0
    29     524.402     6098.6       14        805         925         0
    30     574.714     6223.3       15        730         850         0

