MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      688.464     6121.83       17        360         477         0
    2      703.096     6134.28       3        436         556         0
    3      693.417     6132.87       3        360         456         0
    4      701.578     6124.39       10        368         488         0
    5      720.683     6220.16       4        413         533         0
    6      718.975     6218.51       7        396         516         0
    7      723.284     6215.26       16        459         579         0
    8      714.562     6220.8       8        427         547         0
    9      726.671     6175.26       8        408         528         0
    10     711.968     6167.58       14        377         497         0
    11     728.438     6172.61       10        392         512         0
    12     718.516     6180.12       10        370         490         0
    13     720.18     6175.44       8        367         487         0
    14     709.421     6166.29       6        396         516         0
    15     709.517     6174.34       15        411         531         0
    16     706.902     6181.8       13        409         529         0
    17     699.922     6185.56       13        364         484         0
    18     729.141     6165.83       15        424         544         0
    19     722.531     6177.05       9        408         528         0
    20     726.33     6173.96       16        379         499         0
    21     471.662     6105.06       17        827         947         0
    22     501.341     6270.9       3        844         964         0
    23     532.976     6172.43       3        779         899         0
    24     574.188     6222.52       10        685         805         0
    25     497.386     6101.1       4        787         907         0
    26     575.387     6258.88       7        838         958         0
    27     468.219     6148.33       16        877         997         0
    28     547.668     6158.2       8        730         850         0
    29     574.685     6225.12       8        712         832         0
    30     563.211     6258.14       14        841         961         0
    31     532.891     6223.72       10        798         918         0
    32     463.449     6268.33       10        875         995         0
    33     475.402     6174.73       8        844         964         0
    34     487.115     6259.04       6        916         1036         0
    35     554.242     6235.55       15        732         852         0
    36     546.461     6150.79       13        746         866         0
    37     565.087     6258.88       13        817         937         0
    38     588.694     6140.03       15        675         795         0
    39     533.304     6174.58       9        808         928         0
    40     569.239     6227.02       16        704         824         0

