MW

VEHICLE
NUMBER     CAPACITY
  25         66

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      693.876     6084.03       5        402         522         0
    2      683.346     6082.04       13        391         511         0
    3      691.745     6096.4       9        374         494         0
    4      695.574     6086.88       15        430         550         0
    5      718.355     6188.22       10        375         495         0
    6      714.651     6192.73       16        382         502         0
    7      719.735     6187.3       13        400         520         0
    8      721.477     6191.96       3        417         537         0
    9      710.329     6166.92       14        376         496         0
    10     721.394     6177.47       6        384         504         0
    11     719.962     6178.01       9        415         535         0
    12     723.136     6184.2       15        415         535         0
    13     719.962     6178.01       11        396         516         0
    14     721.383     6174.34       7        366         486         0
    15     727.52     6173.82       17        428         548         0
    16     700.186     6153.39       8        360         460         0
    17     720.189     6174.4       3        361         481         0
    18     716.6     6175.64       7        363         483         0
    19     718.642     6171.72       5        361         481         0
    20     715.468     6179.57       10        428         548         0
    21     721.08     6176.69       9        404         524         0
    22     720.415     6174.86       15        392         512         0
    23     723.407     6179.39       5        384         504         0
    24     724.813     6179.91       3        385         505         0
    25     719.867     6183.33       7        407         527         0
    26     471.662     6105.06       5        852         972         0
    27     558.981     6320.93       13        804         924         0
    28     571.065     6203.36       9        857         977         0
    29     446.675     6234.22       15        949         1069         0
    30     588.987     6135.4       10        763         883         0
    31     558.981     6320.93       16        782         902         0
    32     484.371     6134.95       13        897         1017         0
    33     554.891     6232.85       3        709         829         0
    34     470.928     6278.48       14        854         974         0
    35     474.942     6164.48       6        893         1013         0
    36     574.684     6227.02       9        705         825         0
    37     591.698     6231.42       15        715         835         0
    38     567.762     6211.62       11        810         930         0
    39     528.913     6152.56       7        724         844         0
    40     492.186     6088.46       17        928         1048         0
    41     473.427     6169.48       8        865         985         0
    42     490.48     6196.73       3        783         903         0
    43     522.91     6074.78       7        815         935         0
    44     574.251     6210.92       5        756         876         0
    45     574.523     6226.16       10        820         940         0
    46     504.444     6116.4       9        840         960         0
    47     587.662     6241.43       15        786         906         0
    48     567.705     6227.87       5        728         848         0
    49     568.431     6218.65       3        734         854         0
    50     562.427     6260.84       7        767         887         0

