MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      703.229     6087.96       15        419         539         0
    2      697.122     6087.01       17        393         513         0
    3      702.864     6089.67       17        392         512         0
    4      724.714     6216.65       12        420         540         0
    5      720.236     6210.43       10        414         534         0
    6      720.135     6210.55       12        436         556         0
    7      723.734     6174.88       5        367         487         0
    8      726.25     6175.11       10        414         534         0
    9      719.623     6184.88       4        368         488         0
    10     726.534     6174.56       16        397         517         0
    11     714.546     6179.81       6        363         483         0
    12     720.139     6182.01       7        369         489         0
    13     716.363     6174.3       8        412         532         0
    14     724.924     6185.53       5        412         532         0
    15     711.403     6168.68       10        425         545         0
    16     698.422     6156.44       14        369         489         0
    17     717.531     6184.06       8        450         570         0
    18     721.72     6173.93       16        411         531         0
    19     718.321     6172.51       10        366         486         0
    20     715.574     6181.15       14        372         492         0
    21     712.259     6183.74       9        384         504         0
    22     710.291     6181.15       7        361         481         0
    23     725.51     6185.32       12        422         542         0
    24     717.944     6176.59       7        364         484         0
    25     719.932     6178.03       10        388         508         0
    26     701.504     6124.26       7        360         472         0
    27     716.283     6174.56       8        363         483         0
    28     724.696     6180.19       17        382         502         0
    29     725.105     6176.36       14        426         546         0
    30     726.128     6169.57       6        367         487         0
    31     548.329     6100.79       15        800         920         0
    32     563.622     6258.23       17        792         912         0
    33     575.096     6224.66       17        716         836         0
    34     525.924     6100.35       12        831         951         0
    35     563.866     6260.75       10        755         875         0
    36     572.195     6226.63       12        729         849         0
    37     521.959     6153.84       5        780         900         0
    38     522.232     6207.63       10        823         943         0
    39     561.445     6223.12       4        746         866         0
    40     565.881     6236.18       16        771         891         0
    41     551.588     6085.6       6        934         1054         0
    42     547.438     6150.44       7        775         895         0
    43     573.561     6220.77       8        776         896         0
    44     559.067     6224.22       5        743         863         0
    45     530.776     6123.11       10        788         908         0
    46     563.296     6173.74       14        664         784         0
    47     562.709     6259.5       8        811         931         0
    48     565.512     6259.2       16        783         903         0
    49     574.69     6226.25       10        796         916         0
    50     497.885     6222.43       14        876         996         0
    51     568.274     6227.55       9        723         843         0
    52     570.365     6223.84       7        775         895         0
    53     563.359     6258.35       12        814         934         0
    54     516.229     6196.19       7        770         890         0
    55     583.063     6144.19       10        662         782         0
    56     565.487     6215.46       7        786         906         0
    57     534.447     6225.12       8        806         926         0
    58     575.229     6211.66       17        688         808         0
    59     533.51     6224.69       14        788         908         0
    60     554.339     6179.9       6        787         907         0

