MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      685.375     6099.22       15        411         531         0
    2      696.794     6086.96       9        431         551         0
    3      684.224     6091.38       3        372         492         0
    4      684.198     6086.57       13        399         519         0
    5      716.867     6220.31       3        435         555         0
    6      723.589     6217.1       7        413         533         0
    7      721.557     6210.84       12        412         532         0
    8      720.443     6210.48       14        437         557         0
    9      700.635     6166.28       10        428         548         0
    10     722.909     6178.31       13        401         521         0
    11     725.894     6172.17       12        374         494         0
    12     720.891     6176.46       16        408         528         0
    13     699.086     6145.01       3        360         454         0
    14     731.013     6167.97       15        433         553         0
    15     719.002     6176.85       14        413         533         0
    16     722.13     6177.35       15        413         533         0
    17     718.157     6172.04       5        360         480         0
    18     719.242     6177.96       15        388         508         0
    19     723.538     6176       8        385         505         0
    20     716.456     6185.24       3        365         485         0
    21     725.089     6179.32       3        368         488         0
    22     720.837     6189.39       14        382         502         0
    23     714.766     6182.72       15        394         514         0
    24     720.616     6174.72       14        412         532         0
    25     699.591     6106.03       14        373         493         0
    26     711.039     6168.53       4        360         471         0
    27     709.491     6171.16       16        363         483         0
    28     717.154     6176.11       7        447         567         0
    29     719.468     6176.23       14        373         493         0
    30     717.005     6183.43       9        425         545         0
    31     530.649     6123.99       15        795         915         0
    32     579.782     6270.89       9        857         977         0
    33     553.772     6190.98       3        787         907         0
    34     573.181     6218.7       13        809         929         0
    35     543.094     6083       3        747         867         0
    36     564.342     6257.19       7        796         916         0
    37     478.324     6153.8       12        849         969         0
    38     510.284     6143.01       14        863         983         0
    39     491.71     6250.34       10        840         960         0
    40     500.078     6269.75       13        897         1017         0
    41     517.625     6143.31       12        917         1037         0
    42     574.197     6222.84       16        726         846         0
    43     488.52     6167.29       3        857         977         0
    44     502.893     6126.64       15        820         940         0
    45     565.881     6236.18       14        767         887         0
    46     574.597     6224.21       15        698         818         0
    47     530.881     6134.51       5        766         886         0
    48     548.076     6101.4       15        751         871         0
    49     564.616     6230.39       8        800         920         0
    50     475.88     6246.04       3        843         963         0
    51     527.179     6258.73       3        844         964         0
    52     597.428     6247.12       14        750         870         0
    53     570.215     6256.18       15        764         884         0
    54     535.952     6229.14       14        730         850         0
    55     496.922     6101.81       14        870         990         0
    56     543.094     6083       4        761         881         0
    57     513.681     6195.67       16        868         988         0
    58     574.217     6228.09       7        755         875         0
    59     575.166     6218.83       14        772         892         0
    60     582.025     6238.06       9        819         939         0

