MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      692.484     6114.23       9        419         539         0
    1      684.846     6102.92       9        366         486         0
    1      689.324     6103.72       5        362         482         0
    1      684.314     6087.47       9        455         575         0
    2      712.94     6191.16       14        377         497         0
    2      709.708     6191.23       5        415         535         0
    2      710.492     6187.67       6        388         508         0
    2      716.807     6192.5       13        466         586         0
    3      710.831     6168.72       4        360         471         0
    3      726.755     6174.37       6        421         541         0
    3      713.038     6174.56       8        411         531         0
    3      707.883     6172.44       10        360         477         0
    3      718.616     6178.59       8        367         487         0
    3      727.024     6174.27       8        421         541         0
    3      719.715     6183.74       3        379         499         0
    3      702.635     6157.13       7        360         462         0
    3      713.787     6180.53       6        362         482         0
    3      695.755     6172.19       9        389         509         0
    3      723.831     6185.07       12        379         499         0
    3      718.594     6176.59       17        375         495         0
    3      726.193     6175.24       4        387         507         0
    3      718.031     6176       10        383         503         0
    3      727.363     6174.42       6        389         509         0
    3      718.45     6179.79       13        390         510         0
    3      719.83     6174.93       17        375         495         0
    3      698.087     6176.94       12        395         515         0
    3      722.724     6180.51       14        429         549         0
    3      720.256     6172.34       13        390         510         0
    3      719.311     6181.88       12        432         552         0
    3      720.891     6176.46       13        373         493         0
    3      713.156     6178.21       15        401         521         0
    3      717.224     6181.56       10        412         532         0
    3      714.121     6183.05       8        366         486         0
    3      727.082     6171.84       10        373         493         0
    3      713.906     6180.61       14        387         507         0
    3      719.267     6179.18       13        391         511         0
    3      716.071     6182.29       11        370         490         0
    3      710.387     6179.85       14        408         528         0
    3      721.658     6174.3       14        421         541         0
    3      714.884     6179.32       3        414         534         0
    1      530.776     6123.11       9        753         873         0
    1      500.074     6269.75       9        922         1042         0
    1      530.665     6152.74       5        787         907         0
    1      505.052     6116.03       9        776         896         0
    2      551.966     6086.34       14        740         860         0
    2      562.162     6260.12       5        842         962         0
    2      527.371     6161.82       6        837         957         0
    2      467.975     6148.61       13        834         954         0
    3      528.913     6152.56       4        759         879         0
    3      522.714     6075.1       6        865         985         0
    3      527.858     6099.83       8        833         953         0
    3      551.154     6085.19       10        739         859         0
    3      509.955     6220.24       8        887         1007         0
    3      457.13     6170.15       8        864         984         0
    3      467.87     6149.23       3        867         987         0
    3      548.053     6158.34       7        765         885         0
    3      485.912     6227.87       6        966         1086         0
    3      533.521     6173.36       9        738         858         0
    3      565.087     6258.88       12        907         1027         0
    3      535.474     6171.88       17        767         887         0
    3      497.376     6101.14       4        894         1014         0
    3      454.237     6216.28       10        833         953         0
    3      489.644     6172.89       6        814         934         0
    3      529.291     6148.52       13        717         837         0
    3      552.372     6192.91       17        700         820         0
    3      563.649     6259.23       12        735         855         0
    3      534.971     6225.29       14        855         975         0
    3      523.383     6254.65       13        789         909         0
    3      523.451     6254.88       12        812         932         0
    3      521.734     6252.16       13        973         1093         0
    3      504.058     6136.35       15        808         928         0
    3      518.033     6142.7       10        772         892         0
    3      562.373     6260.82       8        825         945         0
    3      564.414     6216.58       10        734         854         0
    3      555.399     6093.32       14        699         819         0
    3      498.515     6221.94       13        843         963         0
    3      546.194     6158.65       11        746         866         0
    3      524.402     6098.6       14        805         925         0
    3      550.986     6086.42       14        764         884         0
    3      564.717     6230.33       3        788         908         0

