MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      697.122     6087.01       7        393         513         0
    1      702.864     6089.67       11        392         512         0
    2      718.343     6201.91       17        423         543         0
    2      718.931     6204.9       10        395         515         0
    2      714.981     6202.54       11        385         505         0
    3      719.124     6184.43       12        413         533         0
    3      723.734     6174.88       5        367         487         0
    3      719.29     6179.23       4        364         484         0
    3      701.535     6149.75       15        360         468         0
    3      699.242     6145.02       8        392         512         0
    3      724.4     6176.86       10        401         521         0
    3      724.741     6180.24       15        407         527         0
    3      721.167     6176.44       5        365         485         0
    3      708.879     6184.75       9        439         559         0
    3      726.25     6175.11       10        414         534         0
    3      725.368     6188.21       15        402         522         0
    3      719.623     6184.88       4        368         488         0
    3      727.392     6174.72       16        418         538         0
    3      711.619     6191.11       7        385         505         0
    3      711.403     6168.68       10        425         545         0
    3      701.615     6166       17        360         475         0
    3      717.531     6184.06       8        450         570         0
    3      722.935     6174.72       13        391         511         0
    3      718.316     6180.08       11        414         534         0
    3      701.83     6146.74       10        371         491         0
    3      719.195     6180.82       15        376         496         0
    3      718.885     6172.86       15        391         511         0
    3      722.638     6176.17       16        418         538         0
    3      720.693     6177.68       3        363         483         0
    3      717.944     6176.59       7        364         484         0
    3      725.047     6185.66       14        397         517         0
    3      724.826     6177.71       16        380         500         0
    3      716.283     6174.56       8        363         483         0
    3      722.566     6178.95       17        394         514         0
    3      726.041     6174.04       3        366         486         0
    3      724.347     6181.92       17        397         517         0
    3      725.105     6176.36       14        426         546         0
    3      729.282     6171.77       7        388         508         0
    3      717.315     6170.49       7        361         481         0
    3      710.916     6180.04       6        403         523         0
    1      534.643     6121.29       7        809         929         0
    1      563.622     6258.23       11        792         912         0
    2      531.95     6124.11       17        894         1014         0
    2      563.866     6260.75       10        755         875         0
    2      533.251     6224.48       11        814         934         0
    3      548.134     6158.2       12        734         854         0
    3      521.959     6153.84       5        780         900         0
    3      534.033     6225.02       4        764         884         0
    3      530.279     6147.99       15        836         956         0
    3      528.634     6122.39       8        747         867         0
    3      495.61     6178.56       10        816         936         0
    3      460.548     6178.83       15        861         981         0
    3      521.842     6185.94       5        835         955         0
    3      523.424     6258.06       9        832         952         0
    3      522.232     6207.63       10        823         943         0
    3      514.894     6148.98       15        809         929         0
    3      561.445     6223.12       4        746         866         0
    3      547.291     6216.79       16        751         871         0
    3      467.567     6147.67       7        861         981         0
    3      530.776     6123.11       10        788         908         0
    3      492.235     6232.95       17        857         977         0
    3      562.709     6259.5       8        811         931         0
    3      465.298     6150.06       13        907         1027         0
    3      563.6     6255.18       11        776         896         0
    3      526.726     6238.83       10        850         970         0
    3      477.205     6216.95       15        904         1024         0
    3      541.948     6162.25       15        725         845         0
    3      548.329     6100.79       16        800         920         0
    3      531.353     6123.89       3        873         993         0
    3      516.229     6196.19       7        770         890         0
    3      507.672     6146.04       14        841         961         0
    3      518.888     6122.14       16        783         903         0
    3      465.721     6147.04       8        900         1020         0
    3      552.8     6191.83       17        828         948         0
    3      532.287     6226.11       3        816         936         0
    3      518.687     6148.56       17        778         898         0
    3      533.51     6224.69       14        788         908         0
    3      553.69     6191.18       7        1040         1160         0
    3      491.802     6088.56       7        850         970         0
    3      541.644     6248.58       6        724         844         0

