MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      693.876     6084.03       5        402         522         0
    1      683.346     6082.04       13        391         511         0
    1      691.745     6096.4       9        374         494         0
    1      695.574     6086.88       15        430         550         0
    2      698.384     6205.85       10        447         567         0
    2      688.131     6209.14       3        372         492         0
    2      709.031     6203.86       3        416         536         0
    2      689.302     6206.65       6        481         601         0
    3      725.92     6171.15       16        415         535         0
    3      720.838     6176.57       11        425         545         0
    3      710.329     6166.92       14        376         496         0
    3      722.049     6178.08       14        376         496         0
    3      716.752     6174.69       15        398         518         0
    3      721.394     6177.47       6        384         504         0
    3      718.321     6170.18       13        408         528         0
    3      719.836     6173.65       11        383         503         0
    3      723.961     6177.5       5        368         488         0
    3      719.251     6175.36       10        414         534         0
    3      709.745     6182.17       17        372         492         0
    3      721.383     6174.34       7        366         486         0
    3      720.605     6174.83       13        372         492         0
    3      724.856     6178.47       7        431         551         0
    3      726.654     6181.03       14        411         531         0
    3      710.066     6183.72       15        398         518         0
    3      720.189     6174.4       3        361         481         0
    3      727.278     6174.42       10        399         519         0
    3      707.102     6164.95       6        360         468         0
    3      728.907     6173.52       14        393         513         0
    3      695.024     6172.44       16        378         498         0
    3      717.691     6175.46       7        364         484         0
    3      721.08     6176.69       9        404         524         0
    3      717.523     6180.62       5        364         484         0
    3      726.542     6180.64       16        398         518         0
    3      725.523     6174.8       9        392         512         0
    3      719.193     6181.9       16        394         514         0
    3      722.163     6176.67       8        382         502         0
    3      719.199     6184.61       16        408         528         0
    3      705.215     6143.96       13        360         471         0
    3      706.352     6172.78       10        400         520         0
    3      718.049     6186.42       16        380         500         0
    1      525.977     6100.07       5        815         935         0
    1      557.21     6322.36       13        996         1116         0
    1      470.214     6227.13       9        898         1018         0
    1      470.928     6278.48       15        854         974         0
    2      523.693     6076.77       10        838         958         0
    2      520.524     6283.1       3        902         1022         0
    2      555.541     6192.05       3        753         873         0
    2      535.038     6225.18       6        811         931         0
    3      527.566     6151.53       16        752         872         0
    3      529.764     6222.96       11        760         880         0
    3      554.891     6232.85       14        709         829         0
    3      485.82     6111.81       14        801         921         0
    3      500.397     6148.58       15        870         990         0
    3      474.942     6164.48       6        893         1013         0
    3      491.589     6088.55       13        901         1021         0
    3      533.925     6225.14       11        833         953         0
    3      533.427     6173.09       5        795         915         0
    3      533.493     6174.73       10        754         874         0
    3      547.219     6217.11       17        735         855         0
    3      528.913     6152.56       7        724         844         0
    3      528.998     6077.65       13        791         911         0
    3      491.994     6088.33       7        919         1039         0
    3      532.306     6148.39       14        783         903         0
    3      535.265     6174.93       15        761         881         0
    3      490.48     6196.73       3        783         903         0
    3      520.798     6122.5       10        741         861         0
    3      535.54     6175.54       6        761         881         0
    3      526.715     6238.6       14        810         930         0
    3      530.03     6148.14       16        757         877         0
    3      529.531     6149.78       7        772         892         0
    3      504.444     6116.4       9        840         960         0
    3      516.3     6087.91       5        950         1070         0
    3      547.039     6124.03       16        794         914         0
    3      484.371     6134.95       9        897         1017         0
    3      537.942     6221.81       16        745         865         0
    3      480.508     6313.2       8        926         1046         0
    3      544.167     6086.37       16        839         959         0
    3      545.353     6158.3       13        754         874         0
    3      545.947     6158.16       10        775         895         0
    3      549.189     6239.86       16        764         884         0

