MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      685.375     6099.22       15        411         531         0
    1      696.794     6086.96       9        431         551         0
    1      684.224     6091.38       3        372         492         0
    1      684.198     6086.57       13        399         519         0
    2      698.282     6194.38       4        362         482         0
    2      704.67     6192.98       4        364         484         0
    2      700.159     6197.81       7        369         489         0
    2      710.055     6190.14       9        396         516         0
    3      700.635     6166.28       10        428         548         0
    3      724.05     6179.61       6        401         521         0
    3      708.344     6183.51       12        392         512         0
    3      710.145     6172.85       14        389         509         0
    3      719.286     6174.67       12        394         514         0
    3      727.247     6173.34       14        419         539         0
    3      725.894     6172.17       12        374         494         0
    3      714.316     6180.21       9        384         504         0
    3      718.024     6169.68       17        371         491         0
    3      722.641     6172.87       5        365         485         0
    3      731.013     6167.97       15        433         553         0
    3      714.143     6181.23       10        367         487         0
    3      713.838     6174.25       4        360         477         0
    3      724.817     6179.62       6        384         504         0
    3      723.084     6185.5       15        397         517         0
    3      722.119     6180.98       3        388         508         0
    3      711.657     6168.92       17        379         499         0
    3      718.157     6172.04       5        360         480         0
    3      726.146     6174.87       7        429         549         0
    3      718.406     6188.03       6        384         504         0
    3      730.047     6167.3       9        406         526         0
    3      725.998     6174.17       11        428         548         0
    3      716.456     6185.24       3        365         485         0
    3      725.089     6179.32       3        368         488         0
    3      722.433     6178.4       17        379         499         0
    3      722.767     6173.21       7        382         502         0
    3      722.512     6177.88       3        415         535         0
    3      712.684     6179.66       7        390         510         0
    3      702.498     6171.97       10        473         593         0
    3      720.272     6186.78       9        430         550         0
    3      725.936     6178.35       13        438         558         0
    3      720.616     6174.72       14        412         532         0
    3      718.023     6170.02       5        360         479         0
    3      711.039     6168.53       4        360         471         0
    3      723.002     6176.68       16        378         498         0
    3      713.853     6184.22       9        368         488         0
    3      725.464     6169.02       5        366         486         0
    3      721.113     6179.4       5        381         501         0
    3      724.216     6177.55       7        404         524         0
    3      710.951     6182.17       11        366         486         0
    3      707.962     6183.57       3        440         560         0
    3      723.056     6186.22       5        413         533         0
    1      549.809     6100.82       15        710         830         0
    1      500.078     6269.75       9        897         1017         0
    1      512.477     6185.78       3        988         1108         0
    1      475.88     6246.04       13        843         963         0
    2      523.509     6076.07       4        845         965         0
    2      520.683     6283.02       4        813         933         0
    2      547.252     6158.79       7        777         897         0
    2      530.464     6153.75       9        807         927         0
    3      491.71     6250.34       10        840         960         0
    3      464.065     6206.48       6        931         1051         0
    3      455.065     6216.52       12        882         1002         0
    3      465.32     6146.89       14        849         969         0
    3      480.363     6178.06       12        795         915         0
    3      466.243     6147.57       14        823         943         0
    3      517.625     6143.31       12        917         1037         0
    3      483.511     6257.98       9        877         997         0
    3      509.913     6220.69       17        765         885         0
    3      556.382     6223.65       5        819         939         0
    3      502.893     6126.64       15        820         940         0
    3      519.323     6097.85       10        751         871         0
    3      530.251     6151.3       4        754         874         0
    3      543.094     6083       6        747         867         0
    3      563.622     6259.94       15        789         909         0
    3      547.153     6158.74       3        721         841         0
    3      513.788     6173.85       17        815         935         0
    3      530.881     6134.51       5        766         886         0
    3      488.547     6101.48       7        934         1054         0
    3      468.899     6174.13       6        823         943         0
    3      467.55     6147.5       9        909         1029         0
    3      525.781     6085.69       11        813         933         0
    3      546.699     6085.45       3        849         969         0
    3      527.179     6258.73       3        844         964         0
    3      523.048     6074.94       17        810         930         0
    3      529.656     6145.83       7        794         914         0
    3      547.667     6101.29       3        725         845         0
    3      507.332     6200.23       7        834         954         0
    3      535.793     6083.44       10        880         1000         0
    3      527.263     6094.03       9        882         1002         0
    3      508.907     6221.96       13        798         918         0
    3      535.952     6229.14       14        730         850         0
    3      449.387     6238.06       5        972         1092         0
    3      543.094     6083       4        761         881         0
    3      526.106     6191.09       16        723         843         0
    3      543.991     6180.99       9        770         890         0
    3      531.39     6148.26       5        837         957         0
    3      539.539     6230.71       5        852         972         0
    3      507.942     6095.92       7        834         954         0
    3      528.949     6185.77       11        807         927         0
    3      498.324     6220.83       3        797         917         0
    3      528.857     6150.98       5        737         857         0

