R101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35         0         0        230         0
    1      63         23         2         136        146         10
    2      18         24         22         188        198         10
    3      60         12         31         44        54         10
    4      10         20         19         75        85         10
    5      65         20         6         172        182         10
    6      16         22         41         91        101         10
    7      15         19         1         160        170         10
    8      12         24         13         76        86         10
    9      55         20         19         149        159         10
    10      4         18         35         94        104         10
    11      42         7         5         97        107         10
    12      36         26         18         200        210         10
    13      30         5         8         61        71         10
    14      28         18         26         93        103         10
    15      5         5         16         83        93         10
    16      47         16         25         35        45         10
    17      44         17         9         78        88         10
    18      45         10         18         97        107         10
    19      67         5         25         83        93         10
    20      35         17         7         50        60         10
    21      22         22         2         18        28         10
    22      23         3         7         132        142         10
    23      25         24         20         39        49         10
    24      40         25         9         85        95         10
    25      15         10         20         32        42         10
    26      18         18         17         185        195         10
    27      24         12         5         31        41         10
    28      20         20         8         134        144         10
    29      32         12         7         101        111         10
    30      49         11         18         69        79         10
    31      53         43         2         179        189         10
    32      15         60         22         76        86         10
    33      55         45         31         116        126         10
    34      26         52         19         74        84         10
    35      13         52         6         165        175         10
    36      24         58         41         58        68         10
    37      41         49         1         161        171         10
    38      15         47         13         55        65         10
    39      64         42         19         63        73         10
    40      2         60         35         41        51         10
    41      40         60         5         71        81         10
    42      49         73         18         127        137         10
    43      30         60         8         124        134         10
    44      27         43         26         52        62         10
    45      31         67         16         95        105         10
    46      63         65         25         143        153         10
    47      49         58         9         88        98         10
    48      27         69         18         34        44         10
    49      45         65         25         126        136         10
    50      55         60         7         97        107         10
    51      2         48         2         117        127         10
    52      35         69         7         141        151         10
    53      47         47         20         124        134         10
    54      8         56         9         51        61         10
    55      20         50         20         81        91         10
    56      62         77         17         51        61         10
    57      55         54         5         94        104         10
    58      61         52         8         96        106         10
    59      6         68         7         108        118         10
    60      57         68         18         77        87         10

