RC101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50         0         0        240         0
    1      37         31         14         35        65         10
    2      40         15         40         92        122         10
    3      63         23         2         87        117         10
    4      35         5         20         154        184         10
    5      42         10         40         72        102         10
    6      44         5         20         87        117         10
    7      38         15         10         148        178         10
    8      50         35         19         130        160         10
    9      95         30         30         115        145         10
    10      30         25         23         96        126         10
    11      40         5         10         67        97         10
    12      55         20         19         83        113         10
    13      20         20         8         141        171         10
    14      23         3         7         150        180         10
    15      38         5         30         65        95         10
    16      5         5         16         74        104         10
    17      12         24         13         90        120         10
    18      65         20         6         39        69         10
    19      87         30         10         131        161         10
    20      85         25         10         51        81         10
    21      65         35         3         52        82         10
    22      85         35         30         111        141         10
    23      42         12         10         104        134         10
    24      57         29         18         96        126         10
    25      10         20         19         42        72         10
    26      92         30         10         62        92         10
    27      67         5         25         144        174         10
    28      88         30         10         74        104         10
    29      4         18         35         120        150         10
    30      88         35         20         61        91         10
    31      20         82         14         37        67         10
    32      55         82         40         64        94         10
    33      15         75         2         79        109         10
    34      20         50         20         91        121         10
    35      8         56         40         90        120         10
    36      25         85         20         145        175         10
    37      67         85         10         139        169         10
    38      62         80         19         75        105         10
    39      49         58         30         86        116         10
    40      20         80         23         141        171         10
    41      6         68         10         89        119         10
    42      35         69         19         180        210         10
    43      2         60         8         77        107         10
    44      18         75         7         95        125         10
    45      55         85         30         128        158         10
    46      61         52         16         178        208         10
    47      24         58         13         67        97         10
    48      30         60         6         140        170         10
    49      63         65         10         30        60         10
    50      45         65         10         66        96         10
    51      20         85         3         41        71         10
    52      40         60         30         144        174         10
    53      55         60         10         139        169         10
    54      26         52         18         46        76         10
    55      18         80         19         113        143         10
    56      65         55         10         65        95         10
    57      58         75         25         92        122         10
    58      60         80         10         37        67         10
    59      31         52         35         41        71         10
    60      22         75         20         50        80         10

