R101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35         0         0        230         0
    1      23         3         15         132        142         0
    2      15         10         5         32        42         0
    3      4         18         10         94        104         0
    4      5         5          15         83        93         0
    5      55         20        12         149        159         0
    6      18         18        10         185        195         0
    7      35         17         8         50        60         0
    8      46         13        10         149        159         0
    9      47         16        20         35        45         0
    10      24         12       10         31        41         0
    11      65         20       10         172        182         0
    12      28         18       15         93        103         0
    13      44         17       25         78        88         0
    14      20         20       10         134        144         0
    15      30         5        10         61        71         0
    16      37         56       15         182        192         0
    17      27         69        5         34        44         0
    18      55         60       10         97        107         0
    19      57         68       15         77        87         0
    20      49         58       12         88        98         0
    21      15         60       10         76        86         0
    22      6         68         8         108        118         0
    23      63         65       10         143        153         0
    24      62         77       20         51        61         0
    25      30         60       10         124        134         0
    26      2         60        10         41        51         0
    27      40         60       15         71        81         0
    28      45         65       25         126        136         0
    29      65         55       10         117        127         0
    30      55         54       10         94        104         0

