RC101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50         0         0        240         0
    1      12         24         13         90        120         0
    2      25         30         3         52        82         0
    3      85         25         10         51        81         0
    4      45         30         17         53        83         0
    5      60         12         31         75        105         0
    6      15         10         20         152        182         0
    7      37         31         14         35        65         0
    8      95         30         30         115        145         0
    9      40         15         40         92        122         0
    10      42         12         10         104        134         0
    11      23         3         7         150        180         0
    12      35         5         20         154        184         0
    13      87         30         10         131        161         0
    14      63         23         2         87        117         0
    15      10         20         19         42        72         0
    16      4         18         35         120        150         0
    17      72         35         30         116        146         0
    18      42         15         10         122        152         0
    19      44         5         20         87        117         0
    20      40         5         10         67        97         0
    21      55         20         19         83        113         0
    22      85         35         30         111        141         0
    23      5         5         16         74        104         0
    24      92         30         10         62        92         0
    25      88         30         10         74        104         0
    26      63         65         13         30        60         0
    27      40         60         3         144        174         0
    28      20         80         10         141        171         0
    29      15         75         17         79        109         0
    30      55         60         31         139        169         0
    31      8         56         20         90        120         0
    32      20         82         14         37        67         0
    33      55         82         30         64        94         0
    34      22         75         40         50        80         0
    35      25         85         10         145        175         0
    36      6         68         7         89        119         0
    37      55         54         20         132        162         0
    38      20         85         10         41        71         0
    39      60         85         2         85        115         0
    40      45         65         19         66        96         0
    41      15         80         35         91        121         0
    42      22         85         30         109        139         0
    43      15         60         10         155        185         0
    44      18         80         20         113        143         0
    45      35         69         10         180        210         0
    46      55         80         19         33        63         0
    47      65         55         30         65        95         0
    48      30         60         16         140        170         0
    49      65         85         10         43        73         0
    50      49         58         10         86        116         0

