MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      704.974     6187.69       15        371         491         0
    2      725.92     6171.15       16        399         519         0
    3      721.735     6172.68       10        369         489         0
    4      635.549     6078.72       11        484         604         0
    5      642.394     6087.29       5        510         630         0
    6      720.445     6174.09       16        374         494         0
    7      667.347     6200.88       16        377         497         0
    8      720.838     6176.57       11        393         513         0
    9      698.384     6205.85       10        443         563         0
    10      710.329     6166.92       14        416         536         0
    11      470.214     6227.13       15        947         1067         0
    12      527.566     6151.53       16        787         907         0
    13      574.47     6220.49       10        701         821         0
    14      615.72     6254.29       11        818         938         0
    15      574.331     6229.15       5        895         1015         0
    16      572.933     6221.46       16        679         799         0
    17      534.724     6176.5       16        756         876         0
    18      525.977     6100.07       11        892         1012         0
    19      603.167     6256.91       10        864         984         0
    20      554.891     6232.85       14        860         980         0

