MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      720.415     6176.26       16        404         524         0
    2      711.815     6208.84       10        387         507         0
    3      710.831     6168.72       4        360         471         0
    4      662.179     6199.59       4        365         485         0
    5      720.134     6210.2       3        440         560         0
    6      723.05     6178.5       9        409         529         0
    7      722.462     6177.77       3        436         556         0
    8      719.104     6173.16       3        360         480         0
    9      726.755     6174.37       6        389         509         0
    10      718.638     6205.73       8        463         583         0
    11      665.308     6126.82       4        437         557         0
    12      714.197     6169.88       3        460         580         0
    13      711.357     6175.12       14        382         502         0
    14      712.256     6183.71       10        433         553         0
    15      724.312     6179.85       7        415         535         0
    16      713.038     6174.56       8        417         537         0
    17      680.041     6165.33       16        360         461         0
    18      714     6175.86       7        424         544         0
    19      729.376     6171.38       3        424         544         0
    20      719.162     6180.84       7        368         488         0
    21      538.181     6086.48       16        839         959         0
    22      588.257     6139.25       10        713         833         0
    23      528.913     6152.56       4        748         868         0
    24      500.074     6269.75       4        894         1014         0
    25      585.053     6140.35       3        717         837         0
    26      557.926     6181.75       9        725         845         0
    27      609.023     6077.16       3        692         812         0
    28      507.721     6199.18       3        831         951         0
    29      522.714     6075.1       6        794         914         0
    30      526.981     6257.53       8        831         951         0
    31      465.029     6147.73       4        868         988         0
    32      466.076     6153.32       3        824         944         0
    33      468.578     6147.06       14        895         1015         0
    34      604.134     6229.59       10        694         814         0
    35      569.239     6227.02       7        763         883         0
    36      527.858     6099.83       8        836         956         0
    37      550.967     6189.33       16        714         834         0
    38      460.95     6153.72       7        846         966         0
    39      524.269     6122.27       3        826         946         0
    40      559.318     6372.82       7        877         997         0

